name,platform,year,genre,publisher,critic_score,user_score,total_sales,na_sales,jp_sales,pal_sales,other_sales
Arena Football,PS2,2006.0,Sports,Electronic Arts,37.0,,0.56,0.28,0.0,0.22,0.07
Harry Potter Collection,PS2,2006.0,Misc,Electronic Arts,,,0.56,0.28,0.0,0.21,0.07
Cabela's Big Game Hunter 2005 Adventures,PS2,2004.0,Sports,Activision,,,0.56,0.28,0.0,0.21,0.07
Knockout Kings 2001,PS2,2001.0,Fighting,Electronic Arts,44.8,,0.56,0.28,0.0,0.21,0.07
NHL Hitz 20-02,PS2,2001.0,Sports,Midway Games,42.8,,0.56,0.28,0.0,0.22,0.07
NHL 14,PS3,2013.0,Sports,Electronic Arts,44.15,,0.5549999999999999,0.28,0.0,0.18,0.095
Tiger Woods PGA Tour 11,X360,2010.0,Sports,Electronic Arts,43.45,,0.52,0.28,0.0,0.19,0.05
Mega Man 6,NES,1993.0,Platform,Capcom,,,0.52,0.28,0.16,0.07,0.01
The Walking Dead: Survival Instinct,PS3,2013.0,Shooter,Activision,19.25,,0.525,0.28,0.0,0.16,0.08499999999999999
NHL FaceOff 98,PS,1997.0,Sports,Sony Computer Entertainment,,,0.51,0.28,0.0,0.19,0.03
Virtual Pool,PS,1997.0,Sports,Interplay,,,0.51,0.28,0.0,0.19,0.03
Blue's Clues: Blue's Big Musical,PS,2001.0,Misc,THQ,,,0.5,0.28,0.0,0.19,0.03
Bases Loaded '96: Double Header,PS,1995.0,Sports,Jaleco,,,0.5,0.28,0.0,0.19,0.03
Middle-Earth: Shadow of Mordor,X360,2014.0,Action,Warner Bros. Interactive Entertainment,,,0.49,0.28,0.0,0.16,0.04
Picross 3D,DS,2009.0,Puzzle,Nintendo,45.85,,0.495,0.28,0.16,0.03,0.025
Mad Max (2015),XOne,2015.0,Action,Warner Bros. Interactive Entertainment,,,0.48,0.28,0.0,0.16,0.04
Cars 2,X360,2011.0,Racing,Disney Interactive Studios,,,0.48,0.28,0.0,0.15,0.05
Doom 3 BFG Edition,X360,2012.0,Shooter,Bethesda Softworks,36.45,5.95,0.475,0.28,0.0,0.15,0.04
Rise of Nightmares,X360,2011.0,Action,Sega,29.75,,0.47,0.28,0.01,0.13,0.04
Automobili Lamborghini,N64,1997.0,Racing,Titus,,,0.47,0.28,0.0,0.17,0.01
Transformers: Fall of Cybertron,X360,2012.0,Action,Activision,43.75,,0.44,0.28,0.0,0.12,0.04
Child of Eden,X360,2011.0,Shooter,Ubisoft,46.15,,0.44,0.28,0.0,0.12,0.04
Devil May Cry HD Collection,X360,2012.0,Action,Capcom,,,0.43,0.28,0.01,0.11,0.03
WipEout 64,N64,1998.0,Racing,Midway Games,,,0.43,0.28,0.0,0.14,0.01
Mass Effect Trilogy,X360,2012.0,Action,Electronic Arts,,,0.405,0.28,0.0,0.09,0.035
The Sims 2,GBA,2005.0,Simulation,Electronic Arts,32.1,,0.39,0.28,0.0,0.1,0.01
Madden NFL 2005,GBA,2004.0,Sports,Electronic Arts,44.25,,0.39,0.28,0.0,0.1,0.01
Disney's Brother Bear,GBA,2003.0,Action,THQ,,,0.39,0.28,0.0,0.1,0.01
Harry Potter: Quidditch World Cup,GBA,2003.0,Sports,Electronic Arts,30.1,,0.39,0.28,0.0,0.1,0.01
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011.0,Role-Playing,Ghostlight,42.8,6.25,0.41000000000000003,0.31000000000000005,0.06,0.01,0.035
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011.0,Role-Playing,Ghostlight,42.8,6.25,0.20500000000000002,0.28,0.045,0.01,0.03
Dance Dance Revolution Ultramix 3,XB,2005.0,Simulation,Konami Digital Entertainment,,,0.38,0.28,0.0,0.08,0.01
Hunter: The Reckoning,XB,2002.0,Action,Interplay,43.4,,0.38,0.28,0.0,0.08,0.01
Disney Sing It,PS3,2008.0,Misc,Disney Interactive Studios,,,0.385,0.28500000000000003,0.0,0.06,0.04
NBA Inside Drive 2002,XB,2002.0,Sports,Microsoft Game Studios,42.35,,0.37,0.28,0.0,0.08,0.01
Pac-Man World 2,GC,2002.0,Action,Nintendo,40.95,,0.37,0.28,0.0,0.07,0.01
GoldenEye: Rogue Agent,GC,2004.0,Shooter,Electronic Arts,33.25,,0.36,0.28,0.0,0.07,0.01
DanceDanceRevolution,Wii,2010.0,Simulation,Konami Digital Entertainment,,,0.34,0.28,0.0,0.04,0.02
Speed Racer: The Videogame,DS,2008.0,Racing,Warner Bros. Interactive Entertainment,,,0.34,0.28,0.0,0.04,0.03
Puzzle Quest: Challenge of the Warlords,DS,2007.0,Puzzle,D3Publisher,45.45,,0.34,0.28,0.03,0.005,0.02
F.E.A.R.,X360,2006.0,Shooter,Vivendi Games,46.55,,0.34,0.28,0.0,0.03,0.03
Trauma Center: Second Opinion,Wii,2006.0,Simulation,Nintendo,44.1,,0.34,0.28,0.03,0.01,0.03
Kameo: Elements of Power,X360,2005.0,Action,Microsoft Game Studios,43.35,,0.34,0.28,0.0,0.03,0.03
MX vs. ATV Untamed,Wii,2008.0,Racing,THQ,38.7,,0.33,0.28,0.0,0.025,0.02
The Eye of Judgment,PS3,2007.0,Misc,Sony Computer Entertainment,41.25,,0.335,0.28,0.02,0.0,0.03
Cabela's Dangerous Hunts 2011,X360,2010.0,Sports,Activision,,,0.32,0.28,0.0,0.01,0.02
Clive Barker's Jericho,X360,2007.0,Shooter,Codemasters,34.4,,0.32,0.28,0.0,0.01,0.02
NBA Street V3,XB,2005.0,Sports,Electronic Arts,49.2,,0.32,0.28,0.0,0.03,0.01
Tony Hawk's American Wasteland,X360,2005.0,Sports,Activision,41.75,,0.32,0.28,0.0,0.01,0.03
Cabela's Outdoor Adventures (2009),Wii,2009.0,Sports,Activision Value,,,0.31,0.28,0.0,0.0,0.02
Calvin Tucker's Redneck Jamboree,Wii,2008.0,Misc,Zoo Games,14.7,,0.31,0.28,0.0,0.0,0.02
Shrek's Carnival Craze Party Games,Wii,2008.0,Misc,Activision,,,0.31,0.28,0.0,0.0,0.02
The Incredible Hulk,Wii,2008.0,Action,Sega,26.0,,0.31,0.28,0.0,0.01,0.02
Major League Baseball 2K8,PS3,2008.0,Sports,Bethesda Softworks,37.2,,0.31,0.28,0.0,0.0,0.03
NBA Live 08,PSP,2007.0,Sports,Electronic Arts,39.25,,0.31,0.28,0.0,0.0,0.02
Barbie as The Island Princess,DS,2007.0,Adventure,Activision,,,0.31,0.28,0.0,0.01,0.02
Lord of the Rings: Battle for Middle-Earth,X360,2006.0,Strategy,Electronic Arts,,,0.31,0.28,0.0,0.0,0.02
Math Play,DS,2006.0,Puzzle,Ubisoft,,,0.31,0.28,0.0,0.0,0.02
Tiger Woods PGA Tour 06,X360,2005.0,Sports,Electronic Arts,39.7,,0.31,0.28,0.0,0.0,0.02
Madden NFL 13,PSV,2012.0,Sports,Electronic Arts,35.5,,0.32499999999999996,0.28,0.0,0.0,0.045000000000000005
Dance Dance Revolution Universe 3,X360,2008.0,Simulation,Konami Digital Entertainment,,,0.3,0.28,0.0,0.0,0.02
Contra 4,DS,2007.0,Shooter,Konami Digital Entertainment,45.55,,0.3,0.28,0.01,0.0,0.02
Looney Tunes: Duck Amuck,DS,2007.0,Action,Warner Bros. Interactive Entertainment,36.2,,0.3,0.28,0.0,0.0,0.02
Harvest Moon: The Tale of Two Towns,3DS,,Simulation,Unknown,,,0.32999999999999996,0.28,0.025,0.0,0.02
RealSports Boxing,2600,1986.0,Sports,Atari,,,0.29,0.28,0.0,0.02,0.0
Harvest Moon DS Cute (US sales),DS,2005.0,Simulation,Marvelous Interactive,,,0.28,0.28,0.0,0.0,0.0
Monster Hunter X,3DS,2015.0,Action,Capcom,,,3.32,0.27,2.79,0.21,0.05
Gradius,NES,1986.0,Shooter,Konami Digital Entertainment,,,1.36,0.27,1.0,0.08,0.01
SingStar '80s,PS2,2005.0,Misc,Sony Computer Entertainment,42.75,,1.3,0.27,0.0,0.02,1.02
Pac-Man,NES,1984.0,Puzzle,Namco Bandai Games,,,1.22,0.27,0.85,0.08,0.02
DiRT 3,PS3,2011.0,Racing,Codemasters,48.0,,1.06,0.27,0.01,0.575,0.2
DiRT 2,PS3,2009.0,Racing,Codemasters,47.9,,0.99,0.27,0.0,0.525,0.19
Kessen,PS2,2000.0,Strategy,Electronic Arts,41.55,,0.95,0.27,0.41,0.21,0.07
SingStar Abba,PS3,2008.0,Misc,Sony Computer Entertainment,,,0.93,0.27,0.0,0.505,0.16
Resistance: Retribution,PSP,2009.0,Shooter,Sony Computer Entertainment,44.5,7.85,0.895,0.27,0.05,0.355,0.215
The Tomb Raider Trilogy,PS3,2011.0,Action,Square Enix,43.25,,0.885,0.27,0.0,0.47,0.14500000000000002
FIFA Soccer World Championship,PS2,2000.0,Sports,Electronic Arts,,,0.83,0.27,0.28,0.21,0.07
Sniper: Ghost Warrior,PS3,2011.0,Shooter,City Interactive,28.65,,0.81,0.28500000000000003,0.04,0.345,0.135
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012.0,Fighting,Namco Bandai Games,41.25,,0.735,0.27,0.14,0.245,0.08499999999999999
XCOM: Enemy Unknown,PC,2012.0,Strategy,Take-Two Interactive,49.0,8.2,0.715,0.275,0.0,0.365,0.07500000000000001
Minecraft: Story Mode,PS3,2015.0,Adventure,Mojang,,,0.79,0.29500000000000004,0.0,0.37,0.13
Lollipop Chainsaw,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,36.0,,0.665,0.27,0.11,0.20500000000000002,0.08
Toy Story 3: The Video Game,PSP,2010.0,Action,Disney Interactive Studios,,,0.655,0.27,0.0,0.24,0.14
Need For Speed: Undercover,Wii,2008.0,Racing,Electronic Arts,,,0.64,0.27,0.0,0.31,0.07
Disney Infinity 2.0: Marvel Super Heroes,PS4,2014.0,Action,Disney Interactive Studios,,,0.685,0.32,0.0,0.25,0.115
Dragon Ball Z: Ultimate Tenkaichi,PS3,2011.0,Fighting,Namco Bandai Games,31.5,,0.615,0.27,0.09,0.18,0.07
Final Fantasy IV Advance,GBA,2005.0,Role-Playing,Nintendo,46.8,,0.61,0.27,0.22,0.1,0.01
Dragon Age: Inquisition,PS3,2014.0,Role-Playing,Electronic Arts,,6.3,0.605,0.27,0.055,0.18,0.09
Just Dance 2016,WiiU,2015.0,Misc,Ubisoft,,,0.585,0.28,0.0,0.25,0.05
Disgaea 4: A Promise Unforgotten,PS3,2011.0,Role-Playing,Nippon Ichi Software,43.95,,0.575,0.27,0.14,0.11,0.055
Iron Man,X360,2008.0,Action,Sega,25.05,,0.57,0.27,0.0,0.24,0.06
Xenoblade Chronicles,3DS,2015.0,Role-Playing,Nintendo,,,0.56,0.255,0.125,0.14500000000000002,0.04
Manhunt 2,PS2,2007.0,Action,Take-Two Interactive,37.25,,0.56,0.27,0.0,0.21,0.07
Batman Begins,PS2,2005.0,Action,Electronic Arts,35.4,,0.56,0.27,0.0,0.21,0.07
Dr. Seuss' The Cat in the Hat,PS2,2003.0,Misc,Vivendi Games,31.0,,0.56,0.27,0.0,0.21,0.07
ESPN NFL Football,PS2,2003.0,Sports,Sega,50.15,,0.56,0.27,0.0,0.21,0.07
All-Star Baseball 2002,PS2,2001.0,Sports,Acclaim Entertainment,42.7,,0.56,0.27,0.0,0.21,0.07
MX 2002 Featuring Ricky Carmichael,PS2,2001.0,Racing,THQ,42.0,,0.56,0.27,0.0,0.21,0.07
Soldier of Fortune: Gold Edition,PS2,2001.0,Shooter,Codemasters,,,0.56,0.27,0.0,0.21,0.07
American Idol,PS2,2003.0,Misc,Codemasters,22.5,,0.55,0.27,0.0,0.21,0.07
Batman: Vengeance,PS2,2001.0,Adventure,Ubisoft,37.55,,0.55,0.27,0.0,0.21,0.07
Soul Reaver 2,PS2,2001.0,Action,Eidos Interactive,,,0.55,0.27,0.0,0.21,0.07
Lunar: Silver Star Story Complete,PS,1998.0,Role-Playing,Kadokawa Shoten,42.8,9.55,0.55,0.27,0.06,0.18,0.04
Crash Tag Team Racing,PS2,2005.0,Racing,Vivendi Games,36.7,,0.54,0.27,0.0,0.21,0.07
LEGO Jurassic World,WiiU,2015.0,Action,Warner Bros. Interactive Entertainment,39.0,7.6,0.5449999999999999,0.28,0.025,0.195,0.045
Alice: Madness Returns,X360,2011.0,Adventure,Electronic Arts,38.35,,0.5,0.27,0.04,0.14500000000000002,0.04
Bleach: Soul Resurreccion,PS3,2011.0,Fighting,Nippon Ichi Software,32.35,,0.5,0.27,0.07,0.10500000000000001,0.055
Asphalt 3D,3DS,2011.0,Racing,Ubisoft,23.5,4.35,0.49,0.27,0.02,0.16,0.04
Fire Emblem: Radiant Dawn,Wii,2007.0,Strategy,Nintendo,42.85,8.6,0.49,0.27,0.17,0.03,0.03
Die Hard Trilogy 2: Viva Las Vegas,PS,1999.0,Action,Fox Interactive,,,0.49,0.27,0.0,0.18,0.03
You're in the Movies,X360,2008.0,Misc,Microsoft Game Studios,30.05,,0.48,0.27,0.0,0.17,0.05
ECW Hardcore Revolution,PS,1999.0,Fighting,Acclaim Entertainment,,,0.48,0.27,0.0,0.18,0.03
NFL Xtreme 2,PS,1999.0,Sports,989 Studios,,,0.48,0.27,0.0,0.18,0.03
Vigilante 8: 2nd Offense,PS,1999.0,Racing,Activision,,,0.48,0.27,0.0,0.18,0.03
Wu-Tang: Shaolin Style,PS,1998.0,Fighting,Activision,,,0.48,0.27,0.0,0.18,0.03
Cars: Race-O-Rama,PS2,2009.0,Racing,THQ,,,0.47,0.27,0.0,0.03,0.17
Bomberman Hero,N64,1998.0,Platform,Nintendo,,,0.47,0.27,0.08,0.06,0.05
WWE 2K16,X360,2015.0,Sports,Take-Two Interactive,,6.3,0.445,0.28,0.0,0.125,0.04
TRON: Evolution,PS3,2010.0,Action,Disney Interactive Studios,,,0.42,0.27,0.0,0.095,0.05
300: March to Glory,PSP,2007.0,Action,Warner Bros. Interactive Entertainment,29.95,,0.41,0.27,0.0,0.08,0.07
Six Flags Fun Park,Wii,2009.0,Misc,Ubisoft,23.75,,0.4,0.27,0.0,0.09,0.04
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,DS,2009.0,Action,Konami Digital Entertainment,,,0.4,0.27,0.09,0.01,0.03
NBA Jam,X360,2010.0,Sports,Electronic Arts,,,0.39,0.27,0.0,0.09,0.03
The Cat in the Hat,GBA,2005.0,Platform,Jack of All Games,,,0.38,0.27,0.0,0.1,0.01
Lilo & Stitch 2: Hämsterviel Havoc,GBA,2004.0,Action,Disney Interactive Studios,,,0.38,0.27,0.0,0.1,0.01
Ice Age,GBA,2002.0,Action,Ubisoft,25.6,,0.38,0.27,0.0,0.1,0.01
Tomb Raider: Legend,X360,2006.0,Action,Eidos Interactive,44.0,,0.37,0.27,0.01,0.07,0.03
Castlevania: Order of Ecclesia,DS,2008.0,Platform,Konami Digital Entertainment,46.6,8.95,0.365,0.27,0.04,0.025,0.03
NBA 2K6,XB,2005.0,Action,Take-Two Interactive,46.0,,0.36,0.27,0.0,0.08,0.01
MechAssault 2: Lone Wolf,XB,2004.0,Simulation,Microsoft Game Studios,44.95,,0.36,0.27,0.0,0.08,0.01
ESPN NFL Football,XB,2003.0,Sports,Sega,50.15,,0.36,0.27,0.0,0.08,0.01
Harry Potter and the Chamber of Secrets,XB,2002.0,Action,Electronic Arts,42.7,,0.36,0.27,0.0,0.08,0.01
Kinectimals: Now with Bears!,X360,2011.0,Misc,Microsoft Game Studios,,,0.355,0.27,0.0,0.06,0.03
Need for Speed Carbon,GC,2006.0,Racing,Electronic Arts,41.45,,0.35,0.27,0.0,0.07,0.01
Over the Hedge,GC,2006.0,Platform,Activision,33.75,,0.35,0.27,0.0,0.07,0.01
Nicktoons: Unite!,GC,2005.0,Adventure,THQ,,,0.35,0.27,0.0,0.07,0.01
NFL Street,GC,2004.0,Sports,Electronic Arts,45.1,,0.35,0.27,0.0,0.07,0.01
Tenchu Z,X360,2006.0,Action,Microsoft Game Studios,30.85,,0.34,0.27,0.02,0.02,0.03
Off Road Challenge,N64,1998.0,Racing,GT Interactive,,,0.34,0.27,0.0,0.06,0.0
DECA Sports Freedom,X360,2010.0,Sports,Hudson Soft,14.5,,0.33,0.27,0.0,0.04,0.02
Street Fighter Alpha 3 MAX,PSP,2006.0,Fighting,Capcom,43.9,,0.33,0.27,0.02,0.01,0.03
Power Rangers Samurai,Wii,2011.0,Action,Namco Bandai Games,,,0.32,0.27,0.0,0.025,0.025
My Baby: First Steps,DS,2009.0,Simulation,SouthPeak Games,,,0.32,0.27,0.0,0.03,0.02
Crash of the Titans,X360,2007.0,Action,Vivendi Games,35.65,,0.32,0.27,0.0,0.02,0.02
Prey,X360,2006.0,Shooter,Take-Two Interactive,43.6,,0.32,0.27,0.0,0.03,0.025
Namco Museum: Virtual Arcade,X360,2008.0,Misc,Atari,35.0,,0.31,0.27,0.01,0.01,0.02
Monster Lab,Wii,2008.0,Role-Playing,Eidos Interactive,40.45,,0.31,0.27,0.0,0.02,0.02
My Horse & Me,Wii,2007.0,Sports,Atari,,,0.31,0.27,0.0,0.02,0.02
Happy Feet,DS,2006.0,Action,Midway Games,,,0.31,0.27,0.0,0.01,0.02
Mega Man Maverick Hunter X,PSP,2005.0,Platform,Capcom,43.45,,0.31,0.27,0.0,0.01,0.03
Imagine: Family Doctor,DS,2009.0,Simulation,Ubisoft,,,0.3,0.27,0.0,0.01,0.02
Jonas,DS,2009.0,Adventure,Disney Interactive Studios,24.5,,0.3,0.27,0.0,0.0,0.02
Wacky Races: Crash & Dash,Wii,2008.0,Racing,Eidos Interactive,,,0.3,0.27,0.0,0.0,0.02
Capcom Classics Collection Remixed,PSP,2006.0,Misc,Capcom,39.85,,0.3,0.27,0.0,0.0,0.02
Imagine: Makeup Artist,DS,2020.0,Simulation,Ubisoft,,,0.29,0.27,0.0,0.0,0.02
Sesame Street: Cookie's Counting Carnival,Wii,2010.0,Misc,Warner Bros. Interactive Entertainment,,,0.29,0.27,0.0,0.0,0.02
Alvin and the Chipmunks: The Squeakquel,DS,2009.0,Misc,Majesco Entertainment,,,0.29,0.27,0.0,0.0,0.02
Imagine: Fashion Designer World Tour,DS,2009.0,Simulation,Ubisoft,,,0.29,0.27,0.0,0.0,0.02
Nicktoons: Battle for Volcano Island,DS,2006.0,Action,THQ,,,0.29,0.27,0.0,0.0,0.02
NBA Live 06,X360,2005.0,Sports,Electronic Arts,36.5,,0.29,0.27,0.0,0.0,0.02
Dolphin,2600,1983.0,Action,Activision,,,0.29,0.27,0.0,0.02,0.0
Fast Food,2600,1981.0,Action,Unknown,,,0.29,0.27,0.0,0.02,0.0
Triple Play 2000,N64,1999.0,Sports,Electronic Arts,,,0.28,0.27,0.0,0.01,0.0
Art Academy,DS,2010.0,Misc,Nintendo,40.9,,2.52,0.26,0.33,1.65,0.28
PaRappa The Rapper,PS,1996.0,Misc,Sony Computer Entertainment,50.6,,1.92,0.26,1.46,0.16,0.03
Kirby Super Star,SNES,1996.0,Platform,Nintendo,,,1.44,0.26,1.09,0.07,0.02
Star Ocean: The Second Story,PS,1998.0,Role-Playing,Sony Computer Entertainment,44.1,,1.1,0.26,0.72,0.1,0.02
FIFA Soccer 11,Wii,2010.0,Sports,Electronic Arts,40.85,,1.0750000000000002,0.26,0.0,0.69,0.12
Mario Tennis Open,3DS,2012.0,Sports,Nintendo,37.8,6.9,0.95,0.26,0.34,0.29,0.05
Wild ARMs,PS,1996.0,Role-Playing,Sony Computer Entertainment,,,0.95,0.26,0.46,0.17,0.06
Crysis 3,PS3,2013.0,Shooter,Electronic Arts,42.3,,0.89,0.26,0.03,0.44999999999999996,0.15000000000000002
The Evil Within,PS3,2014.0,Action,Bethesda Softworks,,7.55,0.855,0.265,0.13,0.345,0.12
PokePark 2: Wonders Beyond,Wii,2011.0,Action,Nintendo,,,0.4,0.14500000000000002,0.15000000000000002,0.19,0.04
LEGO Marvel's Avengers,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,39.05,7.05,0.87,0.28500000000000003,0.005,0.44,0.14
Metal Gear Solid: Portable Ops Plus,PSP,2007.0,Action,Konami Digital Entertainment,35.95,,0.69,0.26,0.26,0.005,0.17
Spider-Man 3,PS3,2007.0,Platform,Activision,32.2,,0.67,0.26,0.02,0.29,0.11
Skylanders: Trap Team,PS3,2014.0,Action,Activision,,,0.6799999999999999,0.27,0.0,0.3,0.11499999999999999
Naruto Shippuden: Ultimate Ninja 4,PS2,2007.0,Fighting,Atari,,,0.66,0.26,0.13,0.01,0.26
Borderlands: The Pre-Sequel,PS3,2014.0,Shooter,Take-Two Interactive,,,0.63,0.27,0.05,0.215,0.1
Dead Island: Riptide,PS3,2013.0,Action,Deep Silver,33.8,,0.62,0.26,0.07,0.2,0.095
The Golden Compass,Wii,,Action,Sega,19.5,,0.6,0.26,0.0,0.28,0.07
Doom 3 BFG Edition,PS3,2012.0,Shooter,Bethesda Softworks,36.45,5.9,0.575,0.26,0.0,0.215,0.1
Grease,Wii,2010.0,Misc,505 Games,,,0.55,0.26,0.0,0.24,0.05
Viva Pinata: Pocket Paradise,DS,2008.0,Simulation,THQ,45.05,,0.55,0.26,0.0,0.23,0.06
Hotel Dusk: Room 215,DS,2007.0,Adventure,Nintendo,43.0,7.75,0.54,0.26,0.22,0.04,0.03
Dragon Ball Z: Shin Budokai,PSP,2006.0,Fighting,Atari,38.7,,0.54,0.26,0.13,0.08,0.07
The Incredible Hulk: Ultimate Destruction,PS2,2005.0,Action,Vivendi Games,45.7,,0.54,0.26,0.0,0.2,0.07
SRS: Street Racing Syndicate,PS2,2004.0,Racing,Namco Bandai Games,,,0.54,0.26,0.0,0.21,0.07
ESPN NBA Basketball,PS2,2003.0,Sports,Sega,49.1,,0.54,0.26,0.0,0.21,0.07
The Hobbit,PS2,2003.0,Platform,Vivendi Games,33.25,,0.54,0.26,0.0,0.2,0.07
War of the Monsters,PS2,2003.0,Fighting,Sony Computer Entertainment,44.45,,0.54,0.26,0.0,0.2,0.07
LEGO Dimensions,X360,2015.0,Action,Warner Bros. Interactive Entertainment,,6.65,0.7,0.375,0.0,0.27,0.06
G-Force,DS,2009.0,Action,Disney Interactive Studios,,,0.53,0.26,0.0,0.215,0.05
NASCAR 09,PS2,2008.0,Racing,Electronic Arts,,,0.53,0.26,0.0,0.2,0.07
Juiced,PS2,2005.0,Racing,THQ,37.25,,0.53,0.26,0.0,0.2,0.07
NBA 06,PS2,2005.0,Sports,Sony Computer Entertainment,,,0.53,0.26,0.0,0.2,0.07
Conflict: Vietnam,PS2,2004.0,Shooter,SCi,32.35,,0.53,0.26,0.0,0.2,0.07
Jampack Volume 11,PS2,2004.0,Misc,Sony Computer Entertainment,,,0.53,0.26,0.0,0.2,0.07
Ty the Tasmanian Tiger 2: Bush Rescue,PS2,2004.0,Platform,Electronic Arts,39.15,,0.53,0.26,0.0,0.2,0.07
Legacy of Kain: Defiance,PS2,2003.0,Action,Eidos Interactive,41.5,,0.53,0.26,0.0,0.2,0.07
MLB SlugFest 20-04,PS2,2003.0,Sports,Midway Games,43.0,,0.53,0.26,0.0,0.2,0.07
Return to Castle Wolfenstein: Operation Resurrection,PS2,2003.0,Shooter,Activision,36.8,,0.53,0.26,0.0,0.2,0.07
Oni,PS2,2001.0,Action,Take-Two Interactive,38.15,,0.53,0.26,0.0,0.2,0.07
Time Crisis II,PS2,2001.0,Shooter,Namco Bandai Games,44.85,,0.53,0.26,0.0,0.2,0.07
SimAnimals,DS,2009.0,Simulation,Electronic Arts,38.65,,0.52,0.26,0.0,0.20500000000000002,0.05
We Love Katamari,PS2,2005.0,Puzzle,Electronic Arts,47.1,,0.52,0.26,0.0,0.2,0.07
Dishonored,PC,2012.0,Action,Bethesda Softworks,,,0.51,0.26,0.0,0.19,0.06
The Saboteur,X360,2009.0,Action,Electronic Arts,40.1,,0.51,0.26,0.0,0.2,0.05
Super Monkey Ball 3D,3DS,2011.0,Action,Sega,30.35,5.5,0.495,0.26,0.05,0.15,0.04
Gauntlet Legends,PS,2000.0,Action,Midway Games,,,0.47,0.26,0.0,0.18,0.03
MTV Music Generator,PS,1999.0,Misc,Codemasters,,,0.47,0.26,0.0,0.18,0.03
NHL 97,PS,1996.0,Sports,Electronic Arts,,,0.47,0.26,0.0,0.18,0.03
WipEout,PS,1995.0,Action,Psygnosis,,,0.47,0.26,0.0,0.18,0.03
Thief (2014),XOne,2014.0,Action,Square Enix,,,0.46,0.26,0.0,0.15,0.04
Two Worlds II,PS3,2011.0,Role-Playing,Unknown,38.45,6.7,0.46499999999999997,0.26,0.06,0.1,0.045
The Legend of Spyro: Dawn of the Dragon,DS,2008.0,Platform,Vivendi Games,32.0,,0.46,0.26,0.0,0.15,0.05
Hydro Thunder,PS,1999.0,Racing,Midway Games,,,0.46,0.26,0.0,0.17,0.03
Razor Freestyle Scooter,PS,1999.0,Sports,Ubisoft,34.75,,0.46,0.26,0.0,0.17,0.03
NHL FaceOff '97,PS,1996.0,Sports,Sony Computer Entertainment,,,0.46,0.26,0.0,0.17,0.03
TNA iMPACT!,X360,2008.0,Fighting,Midway Games,,,0.45,0.26,0.0,0.15,0.04
Dora The Explorer: Dora Saves the Snow Princess,DS,2008.0,Platform,Take-Two Interactive,,,0.45,0.26,0.0,0.15,0.03
DmC: Devil May Cry,X360,2013.0,Action,Capcom,,,0.44,0.26,0.01,0.12,0.04
Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012.0,Fighting,Namco Bandai Games,41.25,,0.445,0.26,0.01,0.14,0.04
Spider-Man: Shattered Dimensions,PS3,2010.0,Action,Activision,41.0,,0.44,0.26,0.0,0.125,0.05
Dance Dance Revolution: Hottest Party 3,Wii,2009.0,Simulation,Konami Digital Entertainment,,,0.44,0.26,0.0,0.14,0.04
Transformers: Revenge of the Fallen (Wii & PS2 Version),DS,2009.0,Action,Activision,,,0.44,0.26,0.0,0.14,0.04
Robert Ludlum's The Bourne Conspiracy,X360,,Action,Vivendi Games,39.25,,0.44,0.26,0.0,0.13,0.04
Borderlands: The Handsome Collection,XOne,2015.0,Shooter,Take-Two Interactive,44.1,7.85,0.555,0.375,0.0,0.13,0.05500000000000001
Deadpool,X360,2013.0,Action,Activision,34.0,6.7,0.435,0.26,0.0,0.135,0.04
Just Dance 4,PS3,2012.0,Misc,Ubisoft,,,0.44,0.26,0.0,0.11,0.07
Classic NES Series: Metroid,GBA,2004.0,Adventure,Nintendo,,,0.43,0.26,0.07,0.1,0.01
Classic NES Series: Metroid,GBA,2004.0,Adventure,Nintendo,,,0.25,0.26,0.07,0.1,0.01
Tom Clancy's Rainbow Six: Lockdown,XB,2005.0,Shooter,Ubisoft,40.9,,0.41,0.26,0.0,0.13,0.02
The Gunstringer,X360,2011.0,Shooter,Microsoft Game Studios,42.3,,0.4,0.26,0.0,0.1,0.04
Katamari Forever,PS3,2009.0,Puzzle,Namco Bandai Games,40.65,,0.405,0.26,0.06,0.045,0.04
Rune Factory 3: A Fantasy Harvest Moon,DS,2009.0,Role-Playing,Rising Star Games,42.5,,0.405,0.26,0.1,0.03,0.02
Dark Souls III,XOne,2016.0,Role-Playing,Namco Bandai Games,47.95,8.5,0.39,0.26,0.0,0.09,0.04
Ultimate Spider-Man,XB,2005.0,Action,Activision,42.65,,0.39,0.26,0.0,0.11,0.02
Rock Band 4,PS4,2015.0,Misc,Harmonix Music Systems,42.95,6.4,0.475,0.33499999999999996,0.0,0.055,0.085
Junior Classic Games,DS,2009.0,Misc,Avanquest,,,0.38,0.26,0.0,0.09,0.03
Skylanders: Trap Team,XOne,2014.0,Action,Activision,,,0.41000000000000003,0.30000000000000004,0.0,0.07,0.04
